"case_ID","pay_attn_to_politics","vote_in_2012","vote_choice_2012","attn_to_news","registered_to_vote","party_of_registration","vote_in_primary","vote_choice_primary","vote_for_president","vote_choice_president","approve_of_congress","country_on_track","approve_of_president","feeling_dem_cand","feeling_rep_cand","feeling_prev_pres","feeling_bill_clinton","feeling_dem_party","feeling_rep_party","have_health_insurance","favor_2010_health_care_law","liberal.cons_self","current_econ","party_better_economy","importance_of_guns","policy_immigrants","build_wall","speak_english","syrian_refugees","gov_waste_.tax_money","global_warming","death_penalty","obama_angry","obama_proud","religion_important","attend_church","attend_church_often","born_again_christian","age","married","education","hispanic","white","black.af.amer","amer.indian.alaskan","asian","hawaiian.pac.islander.mentioned","native_status_parents","grandparents_born_outside_US"
305,"4. Some of the time","2. No, didn't vote",NA,"5. None at all","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","1. Approve",50,15,100,60,50,50,"3. Neither favor nor oppose","3. Neither favor nor oppose",NA,"4. Bad","3. Not much difference between them","3. Somewhat important","4. Allow to remain and eventually qualify for U.S. citizenship without penalties.","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","1. Never","1. Important","2. No",NA,"2. No",21,"5. Never married","2. High school graduate","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
306,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered","3. None or 'independent'","1. Yes, voted in primary or caucus","8. Another Republican","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",30,85,30,30,30,70,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","2. Some of the time","1. Important","1. Yes","1. Every week","1. Yes",30,"5. Never married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
307,"4. Some of the time","1. Yes, voted","2. Mitt Romney","4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",20,50,50,50,50,70,"1. Favor","1. Favor","4. Moderate, middle of the road","5. Very bad","3. Not much difference between them","4. Not too important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","1. Never",NA,"2. No",NA,"2. No",21,"1. Married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
308,"4. Some of the time","2. No, didn't vote",NA,"4. A little","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",15,85,40,60,50,50,"3. Neither favor nor oppose","3. Neither favor nor oppose","6. Conservative","4. Bad","3. Not much difference between them","3. Somewhat important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","2. Waste some","1. Has probably been happening","1. Favor","2. Some of the time","2. Some of the time","1. Important","1. Yes","3. Once or twice a month",NA,29,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
309,"3. About half the time","2. No, didn't vote",NA,"3. A moderate amount","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","1. Right direction","1. Approve",65,10,70,55,60,60,"1. Favor","1. Favor","4. Moderate, middle of the road","3. Neither good nor bad","1. Democrats","5. Not important at all","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","2. Waste some","1. Has probably been happening","2. Oppose","1. Never","4. Most of the time","1. Important","-8. Don't know",NA,NA,76,"1. Married","1. Some high school or less","2. No","1. Selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
310,"3. About half the time","2. No, didn't vote",NA,"3. A moderate amount","1. Registered",NA,"2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",30,70,40,15,40,60,"2. Oppose","2. Oppose","4. Moderate, middle of the road","4. Bad","3. Not much difference between them","3. Somewhat important","1. Make all unauthorized immigrants felons and send them back to their home country.","3. Neither favor nor oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","4. Most of the time","2. Some of the time","1. Important","1. Yes","4. A few times a year",NA,42,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
311,"4. Some of the time","2. No, didn't vote",NA,"4. A little","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",60,50,60,60,60,50,"3. Neither favor nor oppose","3. Neither favor nor oppose","4. Moderate, middle of the road","3. Neither good nor bad","3. Not much difference between them","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","3. Neither favor nor oppose","1. Very important","3. Neither favor nor oppose","3. Don't waste very much","2. Probably hasn't been happening","1. Favor","1. Never","2. Some of the time","1. Important","2. No",NA,NA,24,"5. Never married","1. Some high school or less","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
312,"1. Always","1. Yes, voted",NA,"1. A great deal","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"2. Disapprove","2. Wrong track",NA,15,70,50,60,40,60,"2. Oppose","2. Oppose","5. Slightly conservative","4. Bad","3. Not much difference between them","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","1. Never","1. Never","1. Important","2. No",NA,NA,74,"5. Never married","3. Some college",NA,"1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected",NA,NA
313,"1. Always","2. No, didn't vote",NA,"3. A moderate amount","2. Not registered",NA,"2. No, didn't vote in primary or caucus",NA,NA,NA,"1. Approve","2. Wrong track","2. Disapprove",40,85,40,40,40,85,"2. Oppose","2. Oppose",NA,"2. Good","3. Not much difference between them","2. Very important","2. Have a guest worker program in order to work","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","2. Probably hasn't been happening","1. Favor","2. Some of the time","1. Never","1. Important","2. No",NA,NA,51,"1. Married","1. Some high school or less","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
314,"1. Always","1. Yes, voted","2. Mitt Romney","1. A great deal","1. Registered",NA,"1. Yes, voted in primary or caucus","4. Donald Trump",NA,NA,"2. Disapprove","2. Wrong track","2. Disapprove",40,85,42,30,15,60,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","3. About half the time","1. Never","1. Important","1. Yes","4. A few times a year","2. No",76,"2. Widowed","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
315,"1. Always","1. Yes, voted","1. Barack Obama","1. A great deal","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","1. Right direction","1. Approve",80,20,85,80,70,50,"1. Favor","1. Favor","6. Conservative","3. Neither good nor bad","1. Democrats","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","2. Oppose","2. Waste some","2. Probably hasn't been happening","1. Favor","1. Never","5. Always","1. Important","2. No",NA,"1. Yes",25,"1. Married","2. High school graduate","2. No","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
316,"2. Most of the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",0,85,0,15,15,85,"2. Oppose","2. Oppose","6. Conservative","4. Bad","2. Republicans","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","2. Some of the time","1. Never","1. Important","1. Yes","1. Every week","1. Yes",60,"1. Married","5. Bachelor's degree","1. Yes","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
317,"3. About half the time",NA,NA,"3. A moderate amount","1. Registered","2. Republican party","2. No, didn't vote in primary or caucus",NA,"1. Yes",NA,NA,NA,"1. Approve",60,15,70,60,70,70,"3. Neither favor nor oppose","3. Neither favor nor oppose","4. Moderate, middle of the road","3. Neither good nor bad","3. Not much difference between them","3. Somewhat important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","2. Somewhat important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","1. Favor","1. Never","2. Some of the time","1. Important","1. Yes","3. Once or twice a month",NA,30,"1. Married","6. Master's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
318,"1. Always","1. Yes, voted","3. Other","2. A lot","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","4. Donald Trump","1. Yes","2. Donald Trump","2. Disapprove","2. Wrong track","2. Disapprove",15,100,15,50,30,100,"2. Oppose","2. Oppose","7. Extremely conservative","5. Very bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","1. Favor","2. Somewhat important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","5. Always","1. Never","1. Important","1. Yes","1. Every week",NA,61,NA,"4. Associate degree","1. Yes",NA,NA,NA,NA,NA,"1. Both parents born in the U.S.",NA
319,"3. About half the time","1. Yes, voted","2. Mitt Romney","2. A lot","1. Registered","1. Democratic party","1. Yes, voted in primary or caucus","1. Hillary Clinton","1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","1. Approve",50,0,70,60,50,50,"2. Oppose","2. Oppose","5. Slightly conservative","3. Neither good nor bad","3. Not much difference between them","2. Very important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","3. Not very important","2. Oppose","1. Waste a lot","1. Has probably been happening","1. Favor","1. Never","2. Some of the time","1. Important","1. Yes","3. Once or twice a month",NA,48,"3. Divorced","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
320,"4. Some of the time","1. Yes, voted","1. Barack Obama","4. A little","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","2. Disapprove","2. Wrong track","2. Disapprove",85,40,50,100,70,40,"1. Favor","1. Favor","3. Slightly liberal","2. Good","3. Not much difference between them","2. Very important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","3. Neither favor nor oppose","2. Waste some","1. Has probably been happening","2. Oppose","2. Some of the time","2. Some of the time","1. Important","1. Yes","1. Every week","1. Yes",39,"1. Married","2. High school graduate","1. Yes","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Both parents born in another country","4. All"
321,"2. Most of the time","1. Yes, voted",NA,"1. A great deal","1. Registered","2. Republican party","1. Yes, voted in primary or caucus","6. John Kasich","1. Yes","1. Hillary Clinton","1. Approve","2. Wrong track","2. Disapprove",70,0,60,70,60,60,"2. Oppose","2. Oppose","4. Moderate, middle of the road","4. Bad","2. Republicans","1. Extremely important","3. Allow to remain and eventually qualify for U.S. citizenship, if they meet","2. Oppose","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","2. Some of the time","2. Some of the time","1. Important","1. Yes","4. A few times a year",NA,50,"1. Married","5. Bachelor's degree","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
322,"4. Some of the time","1. Yes, voted","1. Barack Obama","3. A moderate amount","1. Registered","1. Democratic party","2. No, didn't vote in primary or caucus",NA,"1. Yes","1. Hillary Clinton","1. Approve","2. Wrong track","2. Disapprove",60,60,70,50,70,50,"1. Favor","1. Favor","4. Moderate, middle of the road","4. Bad","3. Not much difference between them","1. Extremely important","1. Make all unauthorized immigrants felons and send them back to their home country.","1. Favor","1. Very important","2. Oppose","1. Waste a lot","1. Has probably been happening","2. Oppose","1. Never","1. Never","1. Important","1. Yes","3. Once or twice a month",NA,36,"5. Never married","2. High school graduate","2. No","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Both parents born in the U.S.","0. None"
